images/ch4/ch4img1.jpg,"The Revolution Will Be Feminist or Will Not Be."-33.436614,-70.631867
images/ch4/ch4img10.jpg,"Fight like a Girl."-33.437936,-70.633056
images/ch4/ch4img11.jpg,"Without country/Without fear/Queer love is RESISTANCE"-33.436519,-70.630867
images/ch4/ch4img12.jpg,"In a State of Rebellion"-33.433931,-70.62655
images/ch4/ch4img13.jpg,"State of Rebellion," performance piece by Yeguada Latinoamericana-33.441914,-70.644975
images/ch4/ch4img14.jpg,"Not Yours, Not the Cops," paste-up by Lolo Góngora-33.439419,-70.639564
images/ch4/ch4img15.jpg,"If you violate [rape] women, we will violate your laws!!"-33.425819,-70.61435
images/ch4/ch4img16.jpg,Performance piece in front of the Vera Cruz Church: "What hurts you? What makes you angry? Write on us!"-33.438763,-70.641145
images/ch4/ch4img17.jpg,Graffiti mural: "THE OPPRESSIVE STATE IS A MACHO RAPIST."-33.440103,-70.639817
images/ch4/ch4img18.jpg,"The Oppressive State is a Macho Rapist," illustration by Marcela Paz Peña (Isonauta)-33.439319,-70.639525
images/ch4/ch4img19.jpg,Lolo Góngora paste-up, "The Rapist is You!"-33.438561,-70.638375
images/ch4/ch4img2.jpg,"Or will not be," a shorthand reference to the central feminist slogan of the uprising-33.436469,-70.631492
images/ch4/ch4img20.jpg,Montage with block print graphic, "March 8, Liberated Woman"-33.439719,-70.639808
images/ch4/ch4img3.jpg,"We Women are Always on the Front Line," paste-up by Lolo Góngora at GAM-33.439006,-70.639039
images/ch4/ch4img4.jpg,"Holy Dignity," paste-up by Paloma Rodríguez in the gold frame of the Museo de la Dignidad-33.439042,-70.639069
images/ch4/ch4img5.jpg,"Macho man, lose your privileges," graffiti on the side of the Arzobispo Bridge-33.431672,-70.626464
images/ch4/ch4img6.jpg,"A Dead Cop Doesn’t Rape."-33.436089,-70.630403
images/ch4/ch4img7.jpg,"Legal abortion/Fire to the patriarchal state"-33.437569,-70.633858
images/ch4/ch4img8.jpg,"Abort the heterocapitalist patriarchal system."-33.437564,-70.632631
images/ch4/ch4img9.jpg,"Nicole Saavedra Bahamondes/Assassinated for being a Visible Lesbian," poster by Marcela Paz Peña (Isonauta)-33.439514,-70.638908
images/ch1/ch1img1.jpg,"Wooden spoons in the face of your bullets/And at the curfew? CACEROLAZO"-33.45624,-70.593681
images/ch1/ch1img10.jpg,A stencil on the Arzobispo Bridge reads, "Copper for Chile/Not for the Military"-33.431781,-70.626219
images/ch1/ch1img11.jpg,"DIGNITY," a graffiti banner in the Bellas Artes district-33.435867,-70.644639
images/ch1/ch1img12.jpg,"For all the grandparents who committed suicide so as not to be a burden/Today the people rise up in your memory."-33.432306,-70.625708
images/ch1/ch1img13.jpg,"Alive they took them/Alive we want them."-33.423889,-70.612267
images/ch1/ch1img14.jpg,“Yoshua Osorio/17 years old/Disappeared and found burnt to ashes at the Kayser de Penca store” -33.423889,-70.612267
images/ch1/ch1img15.jpg,"Cardenio Prado/Run over during a peaceful demonstration against social injustices"-33.423992,-70.612167
images/ch1/ch1img16.jpg,"Kevin Gómez Morgado/Assassinated by the military on October 21, 2019 in Coquimbo"-33.423983,-70.612136
images/ch1/ch1img17.jpg,"NO MORE IMPUNITY," a massive graphic mural near the Baquedano subway station-33.437936,-70.633414
images/ch1/ch1img18.jpg,"They torture in $hile."-33.43098,-70.623292
images/ch1/ch1img19.jpg,“Chile is not for sale.”-33.441764,-70.642494
images/ch1/ch1img2.jpg,"It’s not 30 pesos, it's 30 years."-33.434536,-70.627236
images/ch1/ch1img20.jpg,“Chile, if happiness doesn’t come, we will go looking for it.”-33.431789,-70.626281
images/ch1/ch1img3.jpg,Graffiti in Ñuñoa equating the regimes of Pinochet and Piñera-33.454658,-70.602705
images/ch1/ch1img4.jpg,"Piñera or Pinochet? I don’t know Rick…They look the same."-33.43152,-70.62397
images/ch1/ch1img5.jpg,A stencil referencing the movie, Back to the Future (1985)-33.442781,-70.647728
