image,caption,latitude,longitude
/images/ch7/ch7img1.jpg,Miguel Ángel Kastro’s Chilean Guernica, "Chile Octubre 2019," in the Lastarria neighborhood-33.437289,-70.642144
/images/ch7/ch7img10.jpg,Expressionistic graphic, "Black October"-33.442386,-70.645111
/images/ch7/ch7img11.jpg,"An eye for an eye for the Chilean state"-33.437119,-70.635758
/images/ch7/ch7img12.jpg,"Drowned and blinded/We carry on."-33.437487,-70.633828
/images/ch7/ch7img13.jpg,Political satire of the president and police-33.429725,-70.620117
/images/ch7/ch7img14.jpg,Protest iconography featuring key motifs of the uprising-33.439883,-70.6398
/images/ch7/ch7img15.jpg,Display of wall magnets and prints of the Negro Matapacos-33.437408,-70.641067
/images/ch7/ch7img16.jpg,Artisanal wares incorporating protest slogans in front of GAM-33.439678,-70.639725
/images/ch7/ch7img2.jpg,"Poetry is in the Street," a large-scale banner at the entrance to the National Library-33.442633,-70.645644
/images/ch7/ch7img3.jpg,"Less Police/More Poetry"-33.436747,-70.632447
/images/ch7/ch7img4.jpg,A play on the 1960’s expression, "Make love, not war."-33.431442,-70.623895
/images/ch7/ch7img5.jpg,An inflammatory Molotov cocktail series-33.437278,-70.635964
/images/ch7/ch7img6.jpg,"Contribute to form the world of the future."-33.439292,-70.639153
/images/ch7/ch7img7.jpg,Dadaist design calling for "more (+) art/less (-) pólice"-33.420139,-70.606194
/images/ch7/ch7img8.jpg,Façade of GAM, an evolving political palimpsest-33.439297,-70.639122
/images/ch7/ch7img9.jpg,Eye balloons created by the Taller de Gráfica Inmediata at GAM-33.438994,-70.639358
