image,caption,latitude,longitude
/images/ch5/ch5img1.jpg,'Rise Up Mapuche.',-33.437603,-70.633644
/images/ch5/ch5img10.jpg,'Resist like a quiltro' (street dog): poster based on lithograph by Javier Barraza,-33.439261,-70.639069
/images/ch5/ch5img11.jpg,'Who are the HEROES of Chile?'—poster at the gate of the Universidad de Chile,-33.441795,-70.638237
/images/ch5/ch5img2.jpg,'Free Wallmapu!',-33.441619,-70.642356
/images/ch5/ch5img3.jpg,'Genocidal State/Out of Wallmapu': poster by Colectivo de Serigrafía Instantánea,-33.439797,-70.639572
/images/ch5/ch5img4.jpg,Anarchist-punk and pro-Mapuche stickers on La Alameda,-33.442153,-70.643189
/images/ch5/ch5img6.jpg,'We all have Mapuche blood/The poor in their hearts/The rich on their hands',-33.443256,-70.647256
/images/ch5/ch5img7.jpg,'Camilo Catrillanca/This fight is for you.',-33.436795,-70.632508
/images/ch5/ch5img8.jpg,Camilo Catrillanca poster by Colectivo de Serigrafía Instantánea,-33.442542,-70.646125
/images/ch5/ch5img9.jpg,Stencil of weichafe (warrior) with palín stick,-33.454772,-70.625412
